"","prim_state","area","area_name","occ_code1","occ_code2","occ_title","occ_group","tot_emp","emp_prse","jobs_1000","loc_quotient","h_mean","a_mean","mean_prse","h_pct10","h_pct25","h_median","h_pct75","h_pct90","a_pct10","a_pct25","a_median","a_pct75","a_pct90","annual","hourly","quartilespread","industry"
"1","CO","19740","Denver-Aurora-Lakewood, CO","11","1011","Chief Executives",NA,310,10.9,0.218,0.15,115.24,239690,6.4,57.2,77.85,208000,208000,208000,118970,161930,208000,208000,208000,NA,NA,46070,"Management Occupations"
"2","CO","19740","Denver-Aurora-Lakewood, CO","11","1021","General and Operations Managers",NA,24820,2.9,17.199,1.11,67.71,140840,1.4,23.84,36.22,56.92,88.89,208000,49590,75340,118390,184900,208000,NA,NA,109560,"Management Occupations"
"3","CO","19740","Denver-Aurora-Lakewood, CO","11","1031","Legislators",NA,200,12,0.137,0.38,NA,76990,13.5,NA,NA,NA,NA,NA,19470,19720,24320,92620,208000,"TRUE",NA,72900,"Management Occupations"
"4","CO","19740","Denver-Aurora-Lakewood, CO","11","2011","Advertising and Promotions Managers",NA,330,27.7,0.23,1.17,51.96,108070,4.1,26.14,39.76,55.14,62.43,74.71,54360,82700,114680,129860,155390,NA,NA,47160,"Management Occupations"
"5","CO","19740","Denver-Aurora-Lakewood, CO","11","2021","Marketing Managers",NA,2290,7.2,1.589,1.03,78.23,162710,2.3,43.89,55.18,73.42,93.28,208000,91290,114770,152710,194020,208000,NA,NA,79250,"Management Occupations"
"6","CO","19740","Denver-Aurora-Lakewood, CO","11","2022","Sales Managers",NA,3500,7.2,2.426,0.93,75.32,156670,2.8,37.23,52.63,69.56,91.77,208000,77440,109460,144670,190890,208000,NA,NA,81430,"Management Occupations"
"7","CO","19740","Denver-Aurora-Lakewood, CO","11","2031","Public Relations and Fundraising Managers",NA,790,6.9,0.548,1.16,63.93,132970,2.6,36.32,44.97,59.85,78.04,95.73,75540,93540,124500,162320,199120,NA,NA,68780,"Management Occupations"
"8","CO","19740","Denver-Aurora-Lakewood, CO","11","3011","Administrative Services Managers",NA,1370,5,0.949,0.5,57.93,120490,2.6,29.76,41.34,54.33,69.87,88.61,61910,86000,113010,145320,184300,NA,NA,59320,"Management Occupations"
"9","CO","19740","Denver-Aurora-Lakewood, CO","11","3021","Computer and Information Systems Managers",NA,4820,5.3,3.338,1.3,79.63,165620,4.8,47.38,60.82,74.15,92.27,208000,98550,126510,154240,191930,208000,NA,NA,65420,"Management Occupations"
"10","CO","19740","Denver-Aurora-Lakewood, CO","11","3031","Financial Managers",NA,4580,3.8,3.172,0.79,80.03,166450,2,43.51,56.11,71.75,94.85,208000,90490,116710,149230,197290,208000,NA,NA,80580,"Management Occupations"
"11","CO","19740","Denver-Aurora-Lakewood, CO","11","3051","Industrial Production Managers",NA,580,7.1,0.403,0.34,56.15,116800,3.2,26.63,35.99,50.86,68.65,89.62,55390,74860,105790,142780,186410,NA,NA,67920,"Management Occupations"
"12","CO","19740","Denver-Aurora-Lakewood, CO","11","3061","Purchasing Managers",NA,460,7,0.322,0.65,67.58,140580,3.1,42.71,54.47,63.39,75.65,94.73,88840,113300,131850,157350,197040,NA,NA,44050,"Management Occupations"
"13","CO","19740","Denver-Aurora-Lakewood, CO","11","3071","Transportation, Storage, and Distribution Managers",NA,770,9.5,0.535,0.64,58.73,122160,4,34.74,41.91,53.15,67.79,88.51,72270,87180,110560,141010,184110,NA,NA,53830,"Management Occupations"
"14","CO","19740","Denver-Aurora-Lakewood, CO","11","3111","Compensation and Benefits Managers",NA,110,7.3,0.079,0.72,71.81,149370,3.5,43.09,52.04,65.23,87.77,208000,89620,108250,135680,182560,208000,NA,NA,74310,"Management Occupations"
"15","CO","19740","Denver-Aurora-Lakewood, CO","11","3121","Human Resources Managers",NA,1010,4.1,0.702,0.73,70.28,146190,2,40.97,51.15,63.23,81.49,208000,85230,106390,131510,169500,208000,NA,NA,63110,"Management Occupations"
"16","CO","19740","Denver-Aurora-Lakewood, CO","11","3131","Training and Development Managers",NA,270,13.7,0.19,0.78,60.95,126770,5.2,36.46,44.33,56.64,72.61,89.5,75830,92210,117810,151030,186150,NA,NA,58820,"Management Occupations"
"17","CO","19740","Denver-Aurora-Lakewood, CO","11","9021","Construction Managers",NA,4180,9.7,2.897,1.57,48.68,101250,4,24.08,31.37,44.18,60.4,78.83,50090,65240,91900,125620,163970,NA,NA,60380,"Management Occupations"
"18","CO","19740","Denver-Aurora-Lakewood, CO","11","9031","Education Administrators, Preschool and Childcare Center/Program",NA,420,11.9,0.294,0.85,27.62,57450,5.6,18.21,20.5,23.61,32.85,41.23,37880,42640,49110,68330,85760,NA,NA,25690,"Management Occupations"
"19","CO","19740","Denver-Aurora-Lakewood, CO","11","9032","Education Administrators, Elementary and Secondary School",NA,2270,1.5,1.571,0.89,NA,93360,1.6,NA,NA,NA,NA,NA,66530,78150,92560,105500,124230,"TRUE",NA,27350,"Management Occupations"
"20","CO","19740","Denver-Aurora-Lakewood, CO","11","9033","Education Administrators, Postsecondary",NA,790,4.8,0.548,0.55,54.34,113020,5.8,25.66,33.04,44.91,62.85,96.88,53370,68720,93410,130730,201510,NA,NA,62010,"Management Occupations"
"21","CO","19740","Denver-Aurora-Lakewood, CO","11","9039","Education Administrators, All Other",NA,100,21.8,0.068,0.27,49.56,103080,3.9,27.27,39.03,48.46,58.1,69.05,56730,81180,100790,120860,143620,NA,NA,39680,"Management Occupations"
"22","CO","19740","Denver-Aurora-Lakewood, CO","11","9041","Architectural and Engineering Managers",NA,2060,7.9,1.425,1.13,83.58,173860,2.4,55.85,64.58,78.07,94.58,208000,116180,134330,162390,196720,208000,NA,NA,62390,"Management Occupations"
"23","CO","19740","Denver-Aurora-Lakewood, CO","11","9051","Food Service Managers",NA,1110,21.5,0.767,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Management Occupations"
"24","CO","19740","Denver-Aurora-Lakewood, CO","11","9061","Funeral Service Managers",NA,40,41.9,0.031,0.53,34.51,71790,11.1,27.14,29.42,32.65,37.37,49.6,56450,61180,67910,77730,103160,NA,NA,16550,"Management Occupations"
"25","CO","19740","Denver-Aurora-Lakewood, CO","11","9071","Gaming Managers",NA,70,20.5,0.047,1.51,31.86,66270,3.8,21.52,24.97,28.19,31.79,49.92,44760,51930,58640,66110,103840,NA,NA,14180,"Management Occupations"
"26","CO","19740","Denver-Aurora-Lakewood, CO","11","9081","Lodging Managers",NA,350,16.6,0.24,0.93,32.55,67710,7.7,20.11,23.95,28.45,37.09,54.61,41830,49820,59170,77140,113590,NA,NA,27320,"Management Occupations"
"27","CO","19740","Denver-Aurora-Lakewood, CO","11","9111","Medical and Health Services Managers",NA,2650,5.1,1.84,0.76,59.59,123950,3,32.88,41,54.61,68.98,92.5,68390,85280,113590,143490,192390,NA,NA,58210,"Management Occupations"
"28","CO","19740","Denver-Aurora-Lakewood, CO","11","9121","Natural Sciences Managers",NA,640,4.7,0.44,1.12,75.33,156700,6.7,42.6,52.14,63.25,87.16,208000,88610,108460,131560,181280,208000,NA,NA,72820,"Management Occupations"
"29","CO","19740","Denver-Aurora-Lakewood, CO","11","9131","Postmasters and Mail Superintendents",NA,40,0,0.029,0.3,38.55,80190,1.4,30.74,32.41,37.07,41.72,51.07,63940,67400,77100,86770,106220,NA,NA,19370,"Management Occupations"
"30","CO","19740","Denver-Aurora-Lakewood, CO","11","9141","Property, Real Estate, and Community Association Managers",NA,1390,18.4,0.96,0.73,47.07,97900,6.8,21.51,28.03,42.82,55.54,86.51,44750,58310,89060,115520,179940,NA,NA,57210,"Management Occupations"
"31","CO","19740","Denver-Aurora-Lakewood, CO","11","9151","Social and Community Service Managers",NA,770,10.6,0.533,0.54,40.91,85100,4.1,23,27.71,35.75,49.18,68.03,47850,57630,74360,102290,141500,NA,NA,44660,"Management Occupations"
"32","CO","19740","Denver-Aurora-Lakewood, CO","11","9161","Emergency Management Directors",NA,50,4.9,0.035,0.52,48.03,99900,2,32.34,38.28,46.03,57.82,72.48,67270,79630,95740,120270,150760,NA,NA,40640,"Management Occupations"
"33","CO","19740","Denver-Aurora-Lakewood, CO","11","9199","Managers, All Other",NA,5130,3.5,3.557,1.18,67.74,140900,1.5,40.23,51.01,61.67,77.83,99.98,83680,106110,128280,161890,207970,NA,NA,55780,"Management Occupations"
"34","CO","19740","Denver-Aurora-Lakewood, CO","13","1011","Agents and Business Managers of Artists, Performers, and Athletes",NA,70,27.6,0.051,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business and Financial Operations Occupations"
"35","CO","19740","Denver-Aurora-Lakewood, CO","13","1020","Buyers and Purchasing Agents",NA,4730,4.7,3.275,1.13,33.11,68880,2.4,17.69,24.21,31.3,41.23,51.01,36800,50360,65100,85760,106100,NA,NA,35400,"Business and Financial Operations Occupations"
"36","CO","19740","Denver-Aurora-Lakewood, CO","13","1031","Claims Adjusters, Examiners, and Investigators",NA,2960,11.9,2.051,1.04,36.52,75950,2.3,23.58,28.85,35.4,43.18,51.32,49050,60020,73630,89810,106750,NA,NA,29790,"Business and Financial Operations Occupations"
"37","CO","19740","Denver-Aurora-Lakewood, CO","13","1032","Insurance Appraisers, Auto Damage",NA,110,32.8,0.077,0.68,31.95,66450,4.3,24.75,26.91,30.21,36.54,43.83,51470,55980,62840,76010,91160,NA,NA,20030,"Business and Financial Operations Occupations"
"38","CO","19740","Denver-Aurora-Lakewood, CO","13","1041","Compliance Officers",NA,3890,3.3,2.693,1.34,35.8,74460,1.7,20.92,26.33,33.7,43.86,54.58,43510,54760,70100,91230,113520,NA,NA,36470,"Business and Financial Operations Occupations"
"39","CO","19740","Denver-Aurora-Lakewood, CO","13","1051","Cost Estimators",NA,3130,7.5,2.171,1.47,36.46,75840,4,19.97,25.29,32.98,41.78,59.36,41530,52610,68610,86910,123470,NA,NA,34300,"Business and Financial Operations Occupations"
"40","CO","19740","Denver-Aurora-Lakewood, CO","13","1071","Human Resources Specialists",NA,7630,3.1,5.29,1.36,33.16,68960,1.3,17.27,23.33,31.55,41.15,51.44,35930,48530,65620,85590,106990,NA,NA,37060,"Business and Financial Operations Occupations"
"41","CO","19740","Denver-Aurora-Lakewood, CO","13","1075","Labor Relations Specialists",NA,400,22.7,0.275,0.5,33.53,69730,8.7,9.46,24.8,34.6,44.84,50.94,19680,51570,71970,93260,105950,NA,NA,41690,"Business and Financial Operations Occupations"
"42","CO","19740","Denver-Aurora-Lakewood, CO","13","1081","Logisticians",NA,1950,6.1,1.353,1.21,36.7,76330,3.1,19.9,25.77,34.78,46.11,58.1,41400,53610,72350,95910,120860,NA,NA,42300,"Business and Financial Operations Occupations"
"43","CO","19740","Denver-Aurora-Lakewood, CO","13","1111","Management Analysts",NA,6860,5.3,4.751,1.03,41.58,86490,2.2,24.58,30.67,38.84,49.17,61.9,51120,63790,80790,102270,128760,NA,NA,38480,"Business and Financial Operations Occupations"
"44","CO","19740","Denver-Aurora-Lakewood, CO","13","1121","Meeting, Convention, and Event Planners",NA,2220,12.6,1.536,2.14,22.61,47030,4.6,11.76,16.19,21.23,28.16,36.06,24470,33670,44150,58570,75010,NA,NA,24900,"Business and Financial Operations Occupations"
"45","CO","19740","Denver-Aurora-Lakewood, CO","13","1131","Fundraisers",NA,1110,20.1,0.767,1.5,27.95,58130,3.9,14.4,20.01,25.82,34.26,45.13,29950,41620,53700,71270,93870,NA,NA,29650,"Business and Financial Operations Occupations"
"46","CO","19740","Denver-Aurora-Lakewood, CO","13","1141","Compensation, Benefits, and Job Analysis Specialists",NA,970,7.4,0.673,1.19,35.76,74380,3.3,19.1,26.14,33.66,43.51,54.84,39720,54360,70020,90500,114070,NA,NA,36140,"Business and Financial Operations Occupations"
"47","CO","19740","Denver-Aurora-Lakewood, CO","13","1151","Training and Development Specialists",NA,4330,5.8,2.999,1.53,34.84,72470,2.2,19.24,25.43,33.58,43.11,51.63,40030,52880,69840,89660,107390,NA,NA,36780,"Business and Financial Operations Occupations"
"48","CO","19740","Denver-Aurora-Lakewood, CO","13","1161","Market Research Analysts and Marketing Specialists",NA,11370,4.1,7.88,1.88,36.13,75140,1.5,19.17,24.61,32.89,44.62,59.68,39870,51200,68410,92810,124130,NA,NA,41610,"Business and Financial Operations Occupations"
"49","CO","19740","Denver-Aurora-Lakewood, CO","13","1199","Business Operations Specialists, All Other",NA,26820,2.8,18.585,2.65,39.51,82180,1.3,21.53,27.66,36.79,48.04,61.51,44780,57540,76530,99910,127950,NA,NA,42370,"Business and Financial Operations Occupations"
"50","CO","19740","Denver-Aurora-Lakewood, CO","13","2011","Accountants and Auditors",NA,22930,3.1,15.891,1.83,39.25,81650,1.8,22.02,27.35,34.72,45.85,59.91,45800,56890,72220,95360,124610,NA,NA,38470,"Business and Financial Operations Occupations"
"51","CO","19740","Denver-Aurora-Lakewood, CO","13","2021","Appraisers and Assessors of Real Estate",NA,730,28.3,0.505,1.22,34.59,71940,6.1,20.45,23.31,31.7,40.94,55.12,42540,48470,65940,85160,114650,NA,NA,36690,"Business and Financial Operations Occupations"
"52","CO","19740","Denver-Aurora-Lakewood, CO","13","2031","Budget Analysts",NA,710,8.4,0.493,1.29,40.12,83440,1.1,27.68,32.43,38.84,47.33,53.81,57580,67450,80790,98450,111930,NA,NA,31000,"Business and Financial Operations Occupations"
"53","CO","19740","Denver-Aurora-Lakewood, CO","13","2041","Credit Analysts",NA,890,13.3,0.617,1.18,38.73,80560,4.1,21.79,27.05,34.63,44.6,62.46,45320,56270,72020,92770,129920,NA,NA,36500,"Business and Financial Operations Occupations"
"54","CO","19740","Denver-Aurora-Lakewood, CO","13","2051","Financial Analysts",NA,2950,9,2.041,0.99,51.59,107310,7.3,22.86,28.89,40.51,62.33,95.87,47550,60100,84260,129660,199420,NA,NA,69560,"Business and Financial Operations Occupations"
"55","CO","19740","Denver-Aurora-Lakewood, CO","13","2052","Personal Financial Advisors",NA,2600,13.8,1.805,1.28,59.81,124400,10.1,26.14,33.64,42.89,67.54,208000,54360,69980,89210,140480,208000,NA,NA,70500,"Business and Financial Operations Occupations"
"56","CO","19740","Denver-Aurora-Lakewood, CO","13","2053","Insurance Underwriters",NA,1150,22.6,0.794,1.26,39.19,81520,3.9,25.05,29.33,36.92,48.42,59.56,52110,61010,76790,100710,123880,NA,NA,39700,"Business and Financial Operations Occupations"
"57","CO","19740","Denver-Aurora-Lakewood, CO","13","2061","Financial Examiners",NA,1010,3.9,0.698,1.89,40.87,85020,4.2,26.68,30.57,36.45,46.86,61.8,55490,63590,75810,97470,128540,NA,NA,33880,"Business and Financial Operations Occupations"
"58","CO","19740","Denver-Aurora-Lakewood, CO","13","2071","Credit Counselors",NA,40,20.1,0.026,0.1,30.22,62850,7.4,18.44,21.6,24.95,30.5,64.43,38350,44930,51890,63430,134020,NA,NA,18500,"Business and Financial Operations Occupations"
"59","CO","19740","Denver-Aurora-Lakewood, CO","13","2072","Loan Officers",NA,4070,10.4,2.817,1.31,32.64,67880,4.6,11.54,21.21,29.36,41.17,53.25,24010,44120,61080,85630,110760,NA,NA,41510,"Business and Financial Operations Occupations"
"60","CO","19740","Denver-Aurora-Lakewood, CO","13","2081","Tax Examiners and Collectors, and Revenue Agents",NA,690,0,0.478,1.2,29.37,61080,1.3,18.97,20.68,25.92,35.45,48.87,39470,43020,53910,73740,101640,NA,NA,30720,"Business and Financial Operations Occupations"
"61","CO","19740","Denver-Aurora-Lakewood, CO","13","2099","Financial Specialists, All Other",NA,3160,8.8,2.191,2.48,37.66,78330,4.8,17.13,25.95,34.28,46.18,62.35,35640,53980,71310,96060,129680,NA,NA,42080,"Business and Financial Operations Occupations"
"62","CO","19740","Denver-Aurora-Lakewood, CO","15","1111","Computer and Information Research Scientists",NA,150,23.6,0.106,0.54,52.46,109120,6.4,18.5,34.2,54.47,67.95,78.96,38480,71130,113300,141340,164230,NA,NA,70210,"Computer and Mathematical Occupations"
"63","CO","19740","Denver-Aurora-Lakewood, CO","15","1121","Computer Systems Analysts",NA,5990,5.4,4.153,1.02,47.12,98000,1.9,28.37,35.18,44.47,56.41,72.37,59000,73180,92500,117330,150540,NA,NA,44150,"Computer and Mathematical Occupations"
"64","CO","19740","Denver-Aurora-Lakewood, CO","15","1122","Information Security Analysts",NA,1740,8.8,1.204,1.63,46.81,97370,3,27.14,34.64,44.92,57.81,72.51,56450,72050,93430,120240,150820,NA,NA,48190,"Computer and Mathematical Occupations"
"65","CO","19740","Denver-Aurora-Lakewood, CO","15","1131","Computer Programmers",NA,2190,14.1,1.518,0.87,46.52,96760,3.4,26.48,34.17,45.89,56.56,62.27,55080,71080,95440,117640,129530,NA,NA,46560,"Computer and Mathematical Occupations"
"66","CO","19740","Denver-Aurora-Lakewood, CO","15","1132","Software Developers, Applications",NA,17030,5.4,11.8,1.98,49.7,103370,1.6,30.81,39.15,49.12,60.03,71.98,64090,81430,102160,124870,149720,NA,NA,43440,"Computer and Mathematical Occupations"
"67","CO","19740","Denver-Aurora-Lakewood, CO","15","1133","Software Developers, Systems Software",NA,8560,9,5.931,2.14,60.3,125420,4.7,38.97,45.5,55.35,66.8,83.99,81060,94630,115130,138940,174710,NA,NA,44310,"Computer and Mathematical Occupations"
"68","CO","19740","Denver-Aurora-Lakewood, CO","15","1134","Web Developers",NA,1220,8.5,0.848,0.96,35.81,74490,2.9,17.4,23.99,35.1,45.89,54.92,36190,49900,73000,95450,114220,NA,NA,45550,"Computer and Mathematical Occupations"
"69","CO","19740","Denver-Aurora-Lakewood, CO","15","1141","Database Administrators",NA,1680,12.7,1.166,1.46,46.41,96520,1.9,25.95,36.65,47.52,57.51,64.37,53980,76230,98850,119630,133890,NA,NA,43400,"Computer and Mathematical Occupations"
"70","CO","19740","Denver-Aurora-Lakewood, CO","15","1142","Network and Computer Systems Administrators",NA,6740,4.7,4.668,1.77,42.14,87650,1.4,25.55,32.86,41.32,51.56,60.95,53140,68340,85940,107250,126770,NA,NA,38910,"Computer and Mathematical Occupations"
"71","CO","19740","Denver-Aurora-Lakewood, CO","15","1143","Computer Network Architects",NA,3570,6.8,2.473,2.23,54.88,114140,1.3,34.54,43.91,55.4,66.23,76.52,71840,91330,115230,137750,159170,NA,NA,46420,"Computer and Mathematical Occupations"
"72","CO","19740","Denver-Aurora-Lakewood, CO","15","1151","Computer User Support Specialists",NA,8690,6.6,6.022,1.4,30.15,62710,2,17.54,22.02,28.38,36.73,46.5,36480,45800,59040,76400,96710,NA,NA,30600,"Computer and Mathematical Occupations"
"73","CO","19740","Denver-Aurora-Lakewood, CO","15","1152","Computer Network Support Specialists",NA,2710,17.4,1.877,1.44,33.55,69790,2.8,20.32,24.85,31.7,40.97,49.02,42270,51680,65930,85220,101970,NA,NA,33540,"Computer and Mathematical Occupations"
"74","CO","19740","Denver-Aurora-Lakewood, CO","15","1199","Computer Occupations, All Other",NA,9600,6.4,6.653,3,49.37,102690,2.4,29.73,38.1,48.92,58.64,69.81,61830,79260,101750,121980,145200,NA,NA,42720,"Computer and Mathematical Occupations"
"75","CO","19740","Denver-Aurora-Lakewood, CO","15","2011","Actuaries",NA,90,18.2,0.064,0.47,50.24,104500,2.9,32.13,38.69,47.39,62.27,74.99,66830,80480,98560,129510,155970,NA,NA,49030,"Computer and Mathematical Occupations"
"76","CO","19740","Denver-Aurora-Lakewood, CO","15","2031","Operations Research Analysts",NA,510,12.9,0.351,0.47,38.48,80030,2.8,22.41,29.05,37.14,46.79,57.14,46610,60420,77250,97330,118850,NA,NA,36910,"Computer and Mathematical Occupations"
"77","CO","19740","Denver-Aurora-Lakewood, CO","15","2041","Statisticians",NA,500,12.9,0.343,1.34,38.75,80610,2.2,25.46,29.49,38.37,46.4,54.27,52960,61330,79800,96520,112880,NA,NA,35190,"Computer and Mathematical Occupations"
"78","CO","19740","Denver-Aurora-Lakewood, CO","17","1011","Architects, Except Landscape and Naval",NA,2280,11.2,1.58,2.18,34.77,72330,2.4,21.79,26.38,31.33,41.47,52.14,45320,54860,65170,86260,108460,NA,NA,31400,"Architecture and Engineering Occupations"
"79","CO","19740","Denver-Aurora-Lakewood, CO","17","1012","Landscape Architects",NA,210,25.6,0.144,1.08,43.88,91260,3.2,27.24,35.76,44.95,51.53,58.67,56660,74380,93510,107190,122030,NA,NA,32810,"Architecture and Engineering Occupations"
"80","CO","19740","Denver-Aurora-Lakewood, CO","17","1021","Cartographers and Photogrammetrists",NA,630,7.2,0.435,5.42,35.3,73420,1.6,24.31,28.14,34.41,40.76,48.97,50560,58530,71570,84780,101860,NA,NA,26250,"Architecture and Engineering Occupations"
"81","CO","19740","Denver-Aurora-Lakewood, CO","17","1022","Surveyors",NA,810,16.4,0.56,1.84,29.65,61670,3.6,17.89,22.66,28.49,35.87,44.9,37210,47120,59260,74610,93380,NA,NA,27490,"Architecture and Engineering Occupations"
"82","CO","19740","Denver-Aurora-Lakewood, CO","17","2011","Aerospace Engineers",NA,1470,21.8,1.017,2.21,64.4,133950,12.1,34.84,42.89,55.02,77.06,208000,72470,89200,114450,160280,208000,NA,NA,71080,"Architecture and Engineering Occupations"
"83","CO","19740","Denver-Aurora-Lakewood, CO","17","2031","Biomedical Engineers",NA,250,10.2,0.17,1.21,43.27,89990,3.2,27.85,34.04,41.87,49.89,60.96,57920,70800,87080,103770,126790,NA,NA,32970,"Architecture and Engineering Occupations"
"84","CO","19740","Denver-Aurora-Lakewood, CO","17","2041","Chemical Engineers",NA,340,7.5,0.234,0.99,47.48,98750,4.9,18.36,33.21,45.5,61.8,75.51,38180,69070,94640,128550,157070,NA,NA,59480,"Architecture and Engineering Occupations"
"85","CO","19740","Denver-Aurora-Lakewood, CO","17","2051","Civil Engineers",NA,6480,7.5,4.489,2.14,43.23,89910,2.8,26.04,31.76,40,51.24,63.79,54170,66060,83210,106570,132670,NA,NA,40510,"Architecture and Engineering Occupations"
"86","CO","19740","Denver-Aurora-Lakewood, CO","17","2071","Electrical Engineers",NA,2130,12,1.474,1.15,44.33,92220,2,26.07,33.52,42.76,54.78,67.18,54220,69720,88930,113940,139730,NA,NA,44220,"Architecture and Engineering Occupations"
"87","CO","19740","Denver-Aurora-Lakewood, CO","17","2072","Electronics Engineers, Except Computer",NA,4230,21.1,2.929,3.09,49.24,102410,2.7,32.1,36.7,45.92,60.33,75.27,66770,76340,95520,125490,156550,NA,NA,49150,"Architecture and Engineering Occupations"
"88","CO","19740","Denver-Aurora-Lakewood, CO","17","2081","Environmental Engineers",NA,1170,13.5,0.807,2.19,49.33,102600,2.5,29.23,35.58,46.83,58.45,75.29,60800,74010,97400,121570,156600,NA,NA,47560,"Architecture and Engineering Occupations"
"89","CO","19740","Denver-Aurora-Lakewood, CO","17","2111","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",NA,210,9.2,0.144,0.79,48.27,100400,2.4,32.62,39.57,46.57,57.66,69.42,67840,82310,96860,119940,144400,NA,NA,37630,"Architecture and Engineering Occupations"
"90","CO","19740","Denver-Aurora-Lakewood, CO","17","2112","Industrial Engineers",NA,2040,8.8,1.41,0.76,47.17,98120,1.8,29.26,35.58,45.39,56.95,68.69,60860,74010,94400,118460,142870,NA,NA,44450,"Architecture and Engineering Occupations"
"91","CO","19740","Denver-Aurora-Lakewood, CO","17","2131","Materials Engineers",NA,260,17.7,0.183,0.96,47.23,98250,2.2,32.22,37,44.89,56.03,70.3,67020,76950,93370,116550,146230,NA,NA,39600,"Architecture and Engineering Occupations"
"92","CO","19740","Denver-Aurora-Lakewood, CO","17","2141","Mechanical Engineers",NA,3070,8.3,2.125,1.04,52.69,109600,6.7,29.56,35.75,45.34,60.5,85.57,61470,74360,94320,125850,177990,NA,NA,51490,"Architecture and Engineering Occupations"
"93","CO","19740","Denver-Aurora-Lakewood, CO","17","2151","Mining and Geological Engineers, Including Mining Safety Engineers",NA,410,31.9,0.286,6.62,58.41,121490,15.1,28.24,40.74,47.45,67.14,208000,58750,84750,98700,139660,208000,NA,NA,54910,"Architecture and Engineering Occupations"
"94","CO","19740","Denver-Aurora-Lakewood, CO","17","2171","Petroleum Engineers",NA,1040,9.9,0.717,3.19,84.74,176250,4.1,43.35,56.39,76.24,208000,208000,90180,117290,158580,208000,208000,NA,NA,90710,"Architecture and Engineering Occupations"
"95","CO","19740","Denver-Aurora-Lakewood, CO","17","2199","Engineers, All Other",NA,1330,9.8,0.921,1,49.86,103700,2.6,32.52,38.88,48.62,59.95,72.48,67650,80870,101140,124700,150760,NA,NA,43830,"Architecture and Engineering Occupations"
"96","CO","19740","Denver-Aurora-Lakewood, CO","17","3011","Architectural and Civil Drafters",NA,1490,12.1,1.034,1.54,29.23,60800,2.6,17.19,21.72,28.23,35.21,41.39,35740,45190,58710,73240,86100,NA,NA,28050,"Architecture and Engineering Occupations"
"97","CO","19740","Denver-Aurora-Lakewood, CO","17","3012","Electrical and Electronics Drafters",NA,580,28,0.402,2.2,30.91,64300,3.7,19.01,22.32,28.18,36.58,47.27,39540,46420,58610,76090,98310,NA,NA,29670,"Architecture and Engineering Occupations"
"98","CO","19740","Denver-Aurora-Lakewood, CO","17","3013","Mechanical Drafters",NA,310,15.5,0.215,0.53,29.46,61270,2.6,19.76,22.8,27.95,35.11,42.76,41110,47420,58130,73030,88950,NA,NA,25610,"Architecture and Engineering Occupations"
"99","CO","19740","Denver-Aurora-Lakewood, CO","17","3019","Drafters, All Other",NA,120,13,0.08,0.75,26.58,55280,5,16.58,19.3,23.76,31.82,42.91,34490,40140,49420,66190,89250,NA,NA,26050,"Architecture and Engineering Occupations"
"100","CO","19740","Denver-Aurora-Lakewood, CO","17","3021","Aerospace Engineering and Operations Technicians",NA,120,13.1,0.082,0.99,33.01,68660,4.9,23.76,29.07,33.96,37.37,39.46,49430,60470,70640,77720,82070,NA,NA,17250,"Architecture and Engineering Occupations"
"101","CO","19740","Denver-Aurora-Lakewood, CO","17","3022","Civil Engineering Technicians",NA,610,17.9,0.424,0.85,25.77,53600,3.8,15.06,17.63,24.43,31.29,37.57,31330,36670,50820,65080,78140,NA,NA,28410,"Architecture and Engineering Occupations"
"102","CO","19740","Denver-Aurora-Lakewood, CO","17","3023","Electrical and Electronics Engineering Technicians",NA,1200,26.2,0.83,0.92,37.28,77550,2.4,26.68,31.89,35.5,41.58,48.82,55490,66330,73840,86480,101550,NA,NA,20150,"Architecture and Engineering Occupations"
"103","CO","19740","Denver-Aurora-Lakewood, CO","17","3025","Environmental Engineering Technicians",NA,190,18.1,0.13,1.05,26.66,55460,5,18.09,21.09,25.79,30.13,34.94,37630,43870,53630,62660,72660,NA,NA,18790,"Architecture and Engineering Occupations"
"104","CO","19740","Denver-Aurora-Lakewood, CO","17","3026","Industrial Engineering Technicians",NA,280,14.1,0.195,0.43,30.52,63470,2.7,19.87,24.06,30.5,36.41,40.08,41340,50040,63450,75740,83360,NA,NA,25700,"Architecture and Engineering Occupations"
"105","CO","19740","Denver-Aurora-Lakewood, CO","17","3027","Mechanical Engineering Technicians",NA,220,17.9,0.15,0.49,33.04,68730,3,21.87,26.68,33.05,38.63,45.52,45490,55500,68740,80350,94680,NA,NA,24850,"Architecture and Engineering Occupations"
"106","CO","19740","Denver-Aurora-Lakewood, CO","17","3029","Engineering Technicians, Except Drafters, All Other",NA,1050,12.6,0.73,1.36,31.16,64820,3.4,17.15,22.52,30.51,37.69,46.32,35670,46840,63450,78400,96350,NA,NA,31560,"Architecture and Engineering Occupations"
"107","CO","19740","Denver-Aurora-Lakewood, CO","17","3031","Surveying and Mapping Technicians",NA,1500,21.8,1.039,2.85,25.74,53540,3.5,17.07,20.17,23.98,30.94,37.42,35500,41960,49890,64350,77830,NA,NA,22390,"Architecture and Engineering Occupations"
